00926EB8-E2DB-4991-9493-C70460E898C1#appfire#AB418E6D-2C8B-439D-9FED-07CFC1DCC227#appfire#findById#appfire#com.app.server.service.TalukaService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"Taluka","displayName":"Taluka","type":"com.app.shared.location.Taluka","objectType":1,"collection":"","id":"6F9DBB29-D2F0-49BA-8D20-AA1CD37CFA1D"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findById","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:42#appfire#\N#appfire#2016-01-07 14:59:42#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
016CD363-0137-4C54-A943-99DB2C6810EB#appfire#C04C4D66-212C-410D-8536-F3CCC517124B#appfire#update#appfire#com.app.server.service.AppCustomerTypeService#appfire#{"input":[{"primitive":false,"name":"AppCustomerType","displayName":"AppCustomerType","type":"com.app.shared.customers.AppCustomerType","objectType":1,"collection":"","id":"2B801A2C-BD6F-4671-9EE6-4052A3E33CF0"}],"output":{},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"PUT","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:59#appfire#\N#appfire#2016-01-07 14:59:59#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
017B0A33-998C-4D23-9F33-9D108B7061EB#appfire#AB418E6D-2C8B-439D-9FED-07CFC1DCC227#appfire#findByStateId#appfire#com.app.server.repository.TalukaService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"Taluka","displayName":"Taluka","type":"com.app.shared.location.Taluka","objectType":1,"collection":"java.util.List","id":"6F9DBB29-D2F0-49BA-8D20-AA1CD37CFA1D"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findByStateId","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:42#appfire#\N#appfire#2016-01-07 14:59:42#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#\N
01A62430-E588-4CE5-A074-133D85750BCE#appfire#2D49DE99-D205-4206-961C-7C3664EEEDB9#appfire#update#appfire#com.app.server.service.AppCustomerCategoryService#appfire#{"input":[{"primitive":false,"name":"AppCustomerCategory","displayName":"AppCustomerCategory","type":"com.app.shared.customers.AppCustomerCategory","objectType":1,"collection":"","id":"890196C0-933E-427C-8C86-1CA02210A52C"}],"output":{},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"PUT","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 15:00:00#appfire#\N#appfire#2016-01-07 15:00:00#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
01C4A656-0117-462D-A75A-1E5645FF84E5#appfire#97F82548-28A3-4242-AB07-AF7749518194#appfire#update#appfire#com.app.server.service.StateService#appfire#{"input":[{"primitive":false,"name":"State","displayName":"State","type":"com.app.shared.location.State","objectType":1,"collection":"","id":"381D12FF-2214-405B-A8EE-1A6E22D017B3"}],"output":{},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"PUT","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:39#appfire#\N#appfire#2016-01-07 14:59:39#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
03164B28-A34A-48F0-9908-0FDB0A3298CE#appfire#3F2A380C-E6C9-4D49-B414-8FEBE5E98F72#appfire#findAll#appfire#com.app.server.service.CurrencyService#appfire#{"input":[],"output":{"primitive":false,"name":"Currency","displayName":"Currency","type":"com.app.shared.location.Currency","objectType":1,"collection":"java.util.List","id":"384AE85A-6B56-46DD-AD95-FFCAA707B0D5"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findAll","requestMethodType":"GET","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:39#appfire#\N#appfire#2016-01-07 14:59:39#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
03698EC4-8A99-45D9-A573-D58E6F5B99DF#appfire#04F0F7D9-8B4A-4955-AFE6-E1B9BED3AC0E#appfire#save#appfire#com.app.server.service.TitleService#appfire#{"input":[{"primitive":false,"name":"Title","displayName":"Title","type":"com.app.shared.contacts.Title","objectType":1,"collection":"","id":"9E5ADE63-87B7-4BF1-B3D5-75A38343603F"}],"output":{"primitive":false,"name":"Title","displayName":"Title","type":"com.app.shared.contacts.Title","objectType":1,"collection":"","id":"9E5ADE63-87B7-4BF1-B3D5-75A38343603F"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:47#appfire#\N#appfire#2016-01-07 14:59:47#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
03872641-EA37-4D4A-B1A9-26B620B3CFC3#appfire#F25880A9-95AE-4761-A9F9-42D9F3908F62#appfire#findByTalukaaId#appfire#com.app.server.repository.VillageService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"Village","displayName":"Village","type":"com.app.shared.location.Village","objectType":1,"collection":"java.util.List","id":"1B7C894E-75FE-4D41-A325-02CAA0798F70"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findByTalukaaId","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:43#appfire#\N#appfire#2016-01-07 14:59:43#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#\N
042324C4-3D9C-448C-A934-9195E44FB28B#appfire#43AE138A-E9C4-4C13-833B-0BA9A21FF947#appfire#findAll#appfire#com.app.server.service.UserAccessDomainService#appfire#{"input":[],"output":{"primitive":false,"name":"UserAccessDomain","displayName":"UserAccessDomain","type":"com.app.shared.authentication.UserAccessDomain","objectType":1,"collection":"java.util.List","id":"497B536E-3E0F-457A-8F26-C2BB7BC60AB4"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findAll","requestMethodType":"GET","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:51#appfire#\N#appfire#2016-01-07 14:59:51#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
04723FAB-F9FB-4A56-A4BA-C468F78FC190#appfire#E6AF3A43-2C75-4D0E-A0BE-D83BAA976C15#appfire#findByStateId#appfire#com.app.server.repository.CityService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"City","displayName":"City","type":"com.app.shared.location.City","objectType":1,"collection":"java.util.List","id":"F956AD25-B51F-462D-877F-295A8717B9A2"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findByStateId","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#Q9ZUC92CQ3IMZHSET4ZWLW#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#\N#appfire#2016-01-07 14:59:41#appfire#\N#appfire#2016-01-07 14:59:41#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#\N
