00B2B909-44BF-4BCF-B953-7F252C5B8301#appfire#CCC4FDD6-20E3-45A5-9D67-A4576F5A8001#appfire#findAll#appfire#newproj.app.server.service.UserAccessLevelService#appfire#{"input":[],"output":{"primitive":false,"name":"UserAccessLevel","displayName":"UserAccessLevel","type":"newproj.app.shared.authentication.UserAccessLevel","objectType":1,"collection":"java.util.List","id":"7AF5DEB3-5D47-4481-A482-65F0EA6CD5D6"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findAll","requestMethodType":"GET","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:05#appfire#\N#appfire#2016-01-05 07:02:05#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
00C61B7F-D42D-4503-830A-B2DD0DE9EE43#appfire#0B25A8AF-22E7-4F7A-8B50-337330B5D505#appfire#update#appfire#newproj.app.server.service.PasswordAlgoService#appfire#{"input":[{"primitive":false,"name":"PasswordAlgo","displayName":"PasswordAlgo","type":"newproj.app.shared.authentication.PasswordAlgo","objectType":1,"collection":"","id":"DA436951-D3C4-4438-9CF3-B0A05AE877B3"}],"output":{},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"PUT","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:04#appfire#\N#appfire#2016-01-05 07:02:04#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
00ECED3C-F3E0-4827-8F77-3F232434F8E7#appfire#0B25A8AF-22E7-4F7A-8B50-337330B5D505#appfire#save#appfire#newproj.app.server.service.PasswordAlgoService#appfire#{"input":[{"primitive":false,"name":"PasswordAlgo","displayName":"PasswordAlgo","type":"newproj.app.shared.authentication.PasswordAlgo","objectType":1,"collection":"","id":"DA436951-D3C4-4438-9CF3-B0A05AE877B3"}],"output":{"primitive":false,"name":"PasswordAlgo","displayName":"PasswordAlgo","type":"newproj.app.shared.authentication.PasswordAlgo","objectType":1,"collection":"","id":"DA436951-D3C4-4438-9CF3-B0A05AE877B3"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:04#appfire#\N#appfire#2016-01-05 07:02:04#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
015B3290-E458-4A10-BF5D-8D29D8F9DA1D#appfire#75A54453-BAB3-4EF3-B004-E56828605650#appfire#update#appfire#newproj.app.server.service.ContactTypeService#appfire#{"input":[{"primitive":false,"name":"ContactType","displayName":"ContactType","type":"newproj.app.shared.contacts.ContactType","objectType":1,"collection":"","id":"27F95755-CCB6-4185-9F94-665B17E9437C"}],"output":{},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"PUT","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:01:59#appfire#\N#appfire#2016-01-05 07:01:59#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
02CAB17A-CB28-4638-A487-946C5E5B16D4#appfire#BA72AE5F-52DB-4A24-A1ED-E1EDB8E72CEA#appfire#findById#appfire#newproj.app.server.service.GenderService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"Gender","displayName":"Gender","type":"newproj.app.shared.contacts.Gender","objectType":1,"collection":"","id":"3AD7E348-B844-43EB-822B-9CD4595CAD63"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findById","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:00#appfire#\N#appfire#2016-01-05 07:02:00#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
03C49277-AA12-4ED3-9465-9550B24D9A49#appfire#4666828C-9304-4A28-8ACE-61876E89A3CA#appfire#findAll#appfire#newproj.app.server.service.TitleService#appfire#{"input":[],"output":{"primitive":false,"name":"Title","displayName":"Title","type":"newproj.app.shared.contacts.Title","objectType":1,"collection":"java.util.List","id":"34DF7953-B5CD-44A8-9A80-66A86778BE2D"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findAll","requestMethodType":"GET","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:01#appfire#\N#appfire#2016-01-05 07:02:01#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
03C6DDF9-3F77-4D52-8211-82A0B91ADEE4#appfire#BA72AE5F-52DB-4A24-A1ED-E1EDB8E72CEA#appfire#save#appfire#newproj.app.server.service.GenderService#appfire#{"input":[{"primitive":false,"name":"Gender","displayName":"Gender","type":"newproj.app.shared.contacts.Gender","objectType":1,"collection":"java.util.List","id":"3AD7E348-B844-43EB-822B-9CD4595CAD63"}],"output":{"primitive":false,"name":"Gender","displayName":"Gender","type":"newproj.app.shared.contacts.Gender","objectType":1,"collection":"java.util.List","id":"3AD7E348-B844-43EB-822B-9CD4595CAD63"},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:00#appfire#\N#appfire#2016-01-05 07:02:00#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
04A5D758-850B-481E-B223-9EEB37B779C2#appfire#0BD27DA1-8D76-4C41-9E5F-60A5B5B37C66#appfire#findByStateId#appfire#newproj.app.server.repository.AddressService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"Address","displayName":"Address","type":"newproj.app.shared.location.Address","objectType":1,"collection":"java.util.List","id":"22872291-BEA7-4DD9-B80F-175E817012D4"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findByStateId","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:01:58#appfire#\N#appfire#2016-01-05 07:01:58#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#\N
050ED6F0-C3A6-4CB2-9E39-C3B7BB1CEBD7#appfire#D562A6D5-4619-4244-8284-5056625B3427#appfire#update#appfire#newproj.app.server.service.RegionService#appfire#{"input":[{"primitive":false,"name":"Region","displayName":"Region","type":"newproj.app.shared.location.Region","objectType":1,"collection":"","id":"BBCB06D7-BAA0-4EAA-9500-F47CEC2F6D73"}],"output":{},"exception":[{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/","requestMethodType":"PUT","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:01:53#appfire#\N#appfire#2016-01-05 07:01:53#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#1
0578F1EF-0F10-49DF-B13C-4CF4B8715D85#appfire#3F576905-C3C2-4B5E-A95B-BC725534A238#appfire#findById#appfire#newproj.app.server.service.CommunicationTypeService#appfire#{"input":[{"primitive":true,"name":"findKey","displayName":"findKey","type":"java.lang.String","collection":"","id":""}],"output":{"primitive":false,"name":"CommunicationType","displayName":"CommunicationType","type":"newproj.app.shared.contacts.CommunicationType","objectType":1,"collection":"","id":"E318044D-5E81-4C82-8F45-CEA42DE5FE31"},"exception":[{"name":"Exception","type":"java.lang.Exception"},{"name":"SpartanPersistenceException","type":"com.athena.framework.server.exception.repository.SpartanPersistenceException"}],"serviceMethodHeader":{"resourceMapping":"/findById","requestMethodType":"POST","requestContentType":"application/json","responseContentType":""}}#appfire#\N#appfire#4CNGHW6ARO2U3CLFU0E9DW#appfire#AD7A5F8C-1A33-451F-978A-D068DC91C032#appfire#1#appfire#\N#appfire#2016-01-05 07:02:00#appfire#\N#appfire#2016-01-05 07:02:00#appfire#1#appfire#1#appfire#\N#appfire#\N#appfire#2
